,year,night,frame,channel,path
93,08,167,106,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_106_001_25_R.fits
94,08,167,108,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_108_001_25_R.fits
95,08,167,104,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_104_001_25_B.fits
96,08,167,106,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_106_001_25_B.fits
97,08,167,108,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_108_001_25_B.fits
98,08,213,032,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_032_001_25_R.fits
99,08,213,035,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_035_001_25_R.fits
100,08,213,038,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_038_001_25_R.fits
101,08,213,041,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_041_001_25_R.fits
102,08,213,044,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_044_001_25_R.fits
103,08,213,032,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_032_001_25_B.fits
104,08,213,035,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_035_001_25_B.fits
105,08,213,038,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_038_001_25_B.fits
106,08,213,041,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_041_001_25_B.fits
107,08,213,044,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/213/08_213_044_001_25_B.fits
108,08,216,003,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_003_001_25_R.fits
109,08,216,006,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_006_001_25_R.fits
110,08,216,009,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_009_001_25_R.fits
111,08,216,012,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_012_001_25_R.fits
112,08,216,015,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_015_001_25_R.fits
113,08,216,003,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_003_001_25_B.fits
114,08,216,006,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_006_001_25_B.fits
115,08,216,009,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_009_001_25_B.fits
116,08,216,012,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_012_001_25_B.fits
117,08,216,015,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/216/08_216_015_001_25_B.fits
118,08,356,150,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_150_001_25_R.fits
119,08,356,152,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_152_001_25_R.fits
120,08,356,154,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_154_001_25_R.fits
121,08,356,150,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_150_001_25_B.fits
122,08,356,152,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_152_001_25_B.fits
123,08,356,154,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/356/08_356_154_001_25_B.fits
124,08,185,115,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_115_001_25_R.fits
125,08,185,117,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_117_001_25_R.fits
126,08,185,119,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_119_001_25_R.fits
127,08,185,119,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_119_001_25_B.fits
128,08,185,115,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_115_001_25_B.fits
129,08,185,117,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/185/08_185_117_001_25_B.fits
130,08,309,123,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_123_001_25_R.fits
131,08,309,125,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_125_001_25_R.fits
132,08,309,127,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_127_001_25_R.fits
133,08,309,123,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_123_001_25_B.fits
134,08,309,125,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_125_001_25_B.fits
135,08,309,127,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/309/08_309_127_001_25_B.fits
136,08,124,091,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_091_001_25_R.fits
137,08,124,093,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_093_001_25_R.fits
138,08,124,095,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_095_001_25_R.fits
139,08,124,091,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_091_001_25_B.fits
140,08,124,093,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_093_001_25_B.fits
141,08,124,095,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/124/08_124_095_001_25_B.fits
142,08,197,117,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/197/08_197_117_001_25_R.fits
143,08,197,113,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/197/08_197_113_001_25_R.fits
144,08,197,115,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/197/08_197_115_001_25_R.fits
145,08,197,113,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/197/08_197_113_001_25_B.fits
146,08,197,115,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/197/08_197_115_001_25_B.fits
147,08,271,032,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_032_001_25_R.fits
148,08,271,035,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_035_001_25_R.fits
149,08,271,038,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_038_001_25_R.fits
150,08,271,041,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_041_001_25_R.fits
151,08,271,044,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_044_001_25_R.fits
152,08,271,032,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_032_001_25_B.fits
153,08,271,035,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_035_001_25_B.fits
154,08,271,038,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_038_001_25_B.fits
155,08,271,041,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_041_001_25_B.fits
156,08,271,044,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/271/08_271_044_001_25_B.fits
157,08,199,015,P,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_015_001_25_P.fits
158,08,199,018,P,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_018_001_25_P.fits
159,08,199,015,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_015_001_25_R.fits
160,08,199,018,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_018_001_25_R.fits
161,08,199,015,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_015_001_25_B.fits
162,08,199,018,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/199/08_199_018_001_25_B.fits
163,08,187,106,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_106_001_25_R.fits
164,08,187,108,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_108_001_25_R.fits
165,08,187,110,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_110_001_25_R.fits
166,08,187,115,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_115_001_25_R.fits
